COUNTRY,CUISINES,RESTAURANT COUNTS
Turkey,Asian,2
Turkey,Restaurant Cafe,16
Turkey,Burger,10
Turkey,Fast Food,17
Turkey,Ottoman,6
Turkey,Tex-Mex,1
New Zealand,Steak,20
New Zealand,,2
New Zealand,African,1
New Zealand,Turkish,6
New Zealand,British,3
New Zealand,Kiwi,42
New Zealand,Desserts,17
New Zealand,North Indian,16
New Zealand,Pacific,9
New Zealand,Cafe,135
New Zealand,American,23
New Zealand,Middle Eastern,4
New Zealand,Indian,22
New Zealand,Continental,18
New Zealand,Korean,5
New Zealand,French,14
New Zealand,Breakfast,7
New Zealand,Seafood,26
New Zealand,Others,6
New Zealand,Taiwanese,1
New Zealand,Grill,3
New Zealand,Sushi,8
New Zealand,Pizza,34
New Zealand,Asian Fusion,2
New Zealand,German,1
New Zealand,European,85
New Zealand,Bar Food,2
New Zealand,Vietnamese,5
New Zealand,Greek,1
New Zealand,Mexican,15
New Zealand,Mediterranean,19
New Zealand,Finger Food,2
New Zealand,Spanish,3
New Zealand,Burger,3
New Zealand,Thai,23
New Zealand,Healthy Food,1
New Zealand,Indonesian,1
New Zealand,Malaysian,7
New Zealand,Chinese,18
New Zealand,Pub Food,1
New Zealand,Japanese,24
New Zealand,Bakery,5
New Zealand,Beverages,1
New Zealand,Italian,43
New Zealand,Filipino,1
New Zealand,Moroccan,1
New Zealand,International,3
New Zealand,Coffee and Tea,1
New Zealand,Latin American,2
New Zealand,Ice Cream,6
New Zealand,Fusion,2
New Zealand,Fish and Chips,8
New Zealand,South Indian,3
New Zealand,Asian,40
New Zealand,Mongolian,3
New Zealand,Fast Food,16
New Zealand,Street Food,1
New Zealand,BBQ,2
Czech Republic,Steak,87
Czech Republic,,6
Czech Republic,Turkish,1
Czech Republic,Drinks Only,4
Czech Republic,British,1
Czech Republic,Old Bohemian,27
Czech Republic,Irish,3
Czech Republic,Desserts,7
Czech Republic,Cafe,62
Czech Republic,Indian,11
Czech Republic,Korean,1
Czech Republic,French,15
Czech Republic,Tapas,2
Czech Republic,Arabian,1
Czech Republic,Seafood,13
Czech Republic,Others,7
Czech Republic,American,40
Czech Republic,Grill,27
Czech Republic,Venison,3
Czech Republic,Sushi,15
Czech Republic,Pizza,39
Czech Republic,Hungarian,2
Czech Republic,Moravian,3
Czech Republic,Czech,481
Czech Republic,Greek,2
Czech Republic,Kebab,3
Czech Republic,Russian,2
Czech Republic,Finger Food,5
Czech Republic,Spanish,3
Czech Republic,Burger,38
Czech Republic,Thai,8
Czech Republic,Healthy Food,26
Czech Republic,Slovak,2
Czech Republic,Chinese,8
Czech Republic,Japanese,6
Czech Republic,Bakery,2
Czech Republic,Vegetarian,10
Czech Republic,Belgian,2
Czech Republic,Beverages,1
Czech Republic,Italian,114
Czech Republic,Fresh Fish,3
Czech Republic,Polish,1
Czech Republic,Crepes,5
Czech Republic,Juices,1
